Player,NF,RW,Salary,Actual
K. Towns,50.8,47.24,9800,69.25
P. Siakam,43.5,42.82,9200,64.50
C. Paul,38.9,41.78,9000,61.25
D. Murray,49.7,46.96,11200,60.50
L. Doncic,53.2,53.12,12200,58.50
J. Embiid,50.9,47.41,11800,56
J. Embiid,54.3,48.63,11600,55.75
A. Simons,35.8,33.17,8000,55.5
D. Garland,37.4,38.09,9000,54.50
D. Booker,42.5,44.07,9800,54.25
N. Vucevic,40.2,39.67,10200,51.00
N. Vucevic,43.0,43.20,10200,50
J. Tatum,45.4,43.66,10800,48
J. Nurkic,43.6,45.38,8600,47
T. Young,47.7,52.20,11800,46.25
G. Antetokounmpo,58.0,57.86,12200,46.00
J. Randle,42.4,44.48,10400,45.5
D. DeRozan,43.5,43.16,10000,44.5
J. Brunson,33.1,33.88,8800,44.25
A. Dosunmu,22.8,25.66,3000,43.5
R. Williams,35.1,29.87,8200,43.25
O. Anunoby,34.3,36.35,6800,43.00
J. Allen,39.9,38.03,8600,42.50
J. Kuminga,10.0,11.45,1600,42.25
A. Burks,29.4,31.73,7400,41.25
J. Brown,39.9,39.96,10400,41.25
D. Booker,39.7,40.68,10000,41
R. Covington,25.6,26.85,7200,40.25
O. Yurtseven,29.5,31.22,7600,40.25
J. Tatum,43.7,42.46,9800,40.25
S. Curry,27.2,28.89,6800,39.75
M. Conley,31.8,33.55,7400,39.5
S. Dinwiddie,34.4,34.53,7800,39.25
R. Barrett,35.2,33.58,8600,39.25
J. Clarkson,30.9,40.47,7200,38.5
T. Harris,36.1,38.43,8000,38.5
P. Achiuwa,23.8,24.00,3400,38.00
K. Middleton,37.7,37.14,8600,38.00
J. Morant,43.5,41.58,10800,37.75
F. VanVleet,45.7,43.67,9800,37.75
D. Schroder,26.7,30.53,6200,37.5
O. Porter,26.0,26.74,5200,37.25
B. Biyombo,23.6,34.18,5800,37.25
K. Kuzma,37.1,38.73,9000,37
D. House,22.4,23.77,1000,36.75
A. Wiggins,34.5,32.42,7400,36.50
C. Joseph,20.7,19.81,5400,36
T. Maxey,26.1,28.53,6400,35.00
C. Johnson,28.3,28.98,3800,35
C. Martin,10.3,15.27,4400,34.75
C. White,30.2,32.12,6600,34.75
S. Curry,26.2,24.76,6800,34.50
C. Payne,19.7,24.45,4400,34.25
R. Williams,28.8,29.06,7800,34.00
C. Boucher,30.2,32.48,6400,33.75
M. Robinson,23.4,26.63,5800,33.25
J. Butler,42.5,38.14,10200,33.25
B. Bogdanovic,29.7,31.45,6800,33
T. Harris,34.9,34.93,8200,32.75
K. Looney,21.0,20.19,5000,32.50
J. Crowder,23.0,24.13,5600,32.25
J. Poole,29.6,28.52,6000,32.25
N. Bjelica,14.8,16.48,2400,32.25
B. Portis,32.2,35.89,7000,32.25
D. DeRozan,39.9,39.32,9800,31.50
T. Maxey,29.3,27.44,6400,31.25
G. Allen,20.0,22.80,4200,31.00
J. McDaniels,20.6,21.99,2800,31
C. Cuningham,35.2,34.79,8400,30.75
P. Pritchard,12.4,15.02,4600,29.75
T. Forrest,23.7,22.59,1800,29.5
E. Mobley,34.3,36.39,8200,29.50
C. Paul,39.4,39.98,8800,29.5
J. McGee,18.2,19.37,4000,29
M. Thybulle,19.7,16.03,3600,29.00
K. Johnson,27.6,23.78,6800,28.75
A. Horford,22.6,26.02,6400,28.5
T. Lyles,23.3,28.33,7000,28.5
J. Clarkson,30.8,34.46,7200,28.5
M. Harrell,24.7,25.55,4800,28.25
S. Curry,51.0,46.36,12200,28.00
J. McLaughlin,12.7,14.88,1200,27.75
H. Whiteside,39.8,42.21,6800,27.75
J. Poeltl,32.3,36.72,7600,27.50
H. Whiteside,38.6,39.52,7000,27.5
T. Herro,33.6,30.95,8400,27
C. Kispert,20.2,19.26,3600,26.75
D. Gallinari,24.7,18.66,4000,26.5
J. Butler,21.5,0.00,1000,26.25
D. Bane,30.2,30.87,8200,26.00
S. Adams,0.0,24.06,6800,25.50
J. Vanderbilt,28.1,28.12,5800,25.25
A. Edwards,37.9,42.27,8800,25.25
T. Hardaway Jr.,25.2,25.84,6000,25.00
C. White,27.7,23.82,6200,24.75
O. Okongwu,24.3,28.07,5200,24.25
T. Prince,15.9,19.93,3200,24.25
K. Huerter,24.7,25.56,5600,24
K. Lowry,33.9,33.84,8200,24
M. Chriss,9.7,9.15,1000,24.00
D. Powell,18.8,18.83,4200,23.75
A. Drummond,18.6,21.76,5200,23.50
J. Brown,40.4,39.55,9600,23.50
D. Smith,17.5,19.69,5000,23
J. Richardson,18.7,18.98,4400,22.75
G. Niang,17.8,20.27,1800,22.75
E. Fournier,25.3,25.21,6600,22.5
K. Hayes,18.1,20.78,3600,22.25
C. Osman,19.7,25.62,5000,22.00
D. Finney-Smith,24.9,26.22,5200,21.75
R. Bullock,14.7,11.81,4000,21.75
N. Little,27.0,29.88,7000,21.75
A. Holiday,0.1,0.00,1000,21.75
L. Ball,31.9,32.02,7800,21.50
L. Shamet,13.8,15.87,2400,21
J. Jackson,31.2,30.43,8400,21.00
J. Champagnie,11.4,8.12,1600,21
K. Anderson,23.5,24.39,6600,20.75
M. Bridges,25.5,26.13,6400,20.5
L. Stevens,10.1,11.87,3800,20.50
J. McGee,25.5,23.39,5600,20.25
P. Tucker,18.1,24.87,4000,20.25
J. Collins,31.7,41.04,8800,20.25
L. Walker,20.7,24.34,6000,20.00
B. Forbes,16.8,15.81,4200,20.00
D. Vassell,20.5,20.37,4400,19.75
M. Strus,16.7,16.27,5000,19.5
A. Iguodala,17.4,19.43,4200,19.50
M. Bridges,25.3,23.98,6600,19.25
D. Lee,14.2,18.84,2800,19.25
L. Markkanen,25.7,29.35,6600,19.00
E. Paschall,24.2,27.44,2400,19
R. Gay,27.5,34.77,4200,18.75
G. Hill,14.8,11.34,1000,18.75
R. O'Neale,22.6,23.59,4800,18.5
B. Clarke,21.3,21.79,6200,18.25
B. Goodwin,0.0,13.07,2200,18.25
J. Nowell,27.0,23.80,4000,17.75
D. Hunter,22.0,23.78,2200,17.25
R. Gay,24.1,24.84,4200,16.75
C. Stanley,6.2,8.08,1800,16.75
M. Thomas,0.0,4.66,1000,16.75
I. Stewart,20.8,23.12,4800,16.5
W. Matthews,14.2,14.91,3800,16
H. Diallo,23.7,25.38,7800,16
K. Bates-Diop,0.0,20.22,4600,16.00
J. Butler,0.1,9.87,2200,16
F. Korkmaz,20.6,21.39,5400,15.75
M. Simonovic,0.2,2.39,2200,15.50
J. Smith,16.7,18.87,5000,15.25
M. Kleber,23.1,27.74,5400,15.25
B. McLemore,25.5,24.65,5200,14.5
G. Dieng,21.1,12.52,1000,14.5
D. DiVincenzo,17.5,17.07,2800,14.25
Z. Williams,16.1,16.35,2800,14.25
E. Paschall,16.2,13.18,1400,14.25
A. Drummond,19.2,21.42,4800,14
K. Love,30.4,28.06,7400,14.00
N. Reid,18.0,19.34,2000,13.75
J. Landale,13.0,18.86,1800,13.75
E. Payton,15.2,10.67,1000,13.5
M. Beasley,24.7,23.19,3800,13.25
D. McDermott,21.5,13.98,4000,13.00
D. Dedmon,15.8,15.74,4200,13
D. Avdija,15.0,21.40,4000,13
A. McKinnie,9.2,8.16,1000,12.75
A. Horford,23.3,27.56,6000,12.50
S. Bey,30.0,30.95,8200,12.5
E. Hughes,23.7,15.11,1000,12.5
J. Richardson,20.5,21.74,4400,12.00
K. Caldwell-Pope,24.6,25.94,5800,12
D. Wright,14.6,15.18,4600,12
Q. Grimes,16.6,17.67,2600,11.75
S. Lee,17.3,10.23,3000,11.25
G. Williams,15.2,17.52,1800,10.50
D. Ayton,34.7,35.56,9200,10.5
I. Quickley,19.4,18.06,5000,10.25
T. Bradley,13.1,10.24,1000,10.25
J. Toscano-Anderson,14.3,16.18,3400,9.75
G. Niang,14.6,15.67,1600,9.75
P. Pritchard,16.1,17.43,4600,9.25
P. Connaughton,15.9,12.61,3600,9.25
A. McKinnie,15.6,14.56,1000,9.25
C. Elleby,16.4,16.47,3200,9
R. Hachimura,12.1,10.89,3000,9
T. Snell,8.9,8.97,1000,8.75
F. Korkmaz,25.2,26.05,5200,8.5
R. Neto,17.6,19.00,2800,8.5
T. Bradley,15.1,15.56,1000,8.5
I. Okoro,16.3,13.94,3000,8.25
T. Brown,22.3,24.78,1200,8.25
M. Hill,0.0,3.60,1000,8.25
L. Shamet,15.5,18.94,1000,8
M. Thomas,16.2,14.91,1000,8
C. Brown,0.0,1.44,1000,7.5
D. Gafford,23.4,20.54,6800,7.25
C. Chiozza,5.4,5.01,1000,7.25
J. Ingles,23.2,23.68,4600,7
E. Hughes,0.1,6.38,1000,6.5
G. Williams,15.5,18.10,1600,6.25
E. Freedom,0.0,7.81,2600,6.25
R. Langford,3.0,0.00,1000,6.25
T. Burke,0.2,0.00,1000,6.25
J. Culver,0.1,0.00,1000,6.25
D. Melton,21.6,14.80,5000,6.00
T. Watford,16.6,14.41,1600,6
D. Schroder,28.7,26.51,6200,5.50
T. Luwawu-Cabarrot,12.7,10.17,1800,5.5
T. Brown,13.9,16.95,1200,5.25
J. Primo,20.8,12.31,4800,5.00
D. Robinson,15.6,17.43,5400,4.75
T. Jones,14.9,19.10,4800,4.25
X. Tillman,14.1,4.67,2200,3.25
I. Wainright,3.5,5.28,1000,3.25
B. Fernando,0.2,0.00,1000,3.25
T. Bryant,14.4,15.61,3800,2.5
A. Dosunmu,14.6,16.47,3000,2.50
J. Jackson,4.8,21.50,3800,2.25
E. Freedom,5.4,7.89,2400,2.25
J. Nwora,16.7,17.68,5200,2.00
O. Toppin,10.6,12.35,1600,1.5
J. Konchar,14.8,14.30,3000,1.25
S. Mykhailiuk,12.5,22.27,3200,1.25
S. Brown,7.2,8.20,2600,1.25
R. Hood,0.0,4.03,1800,1.25
I. Joe,10.3,10.84,2200,1
Z. LaVine,38.2,38.36,9600,0.75
F. Ntilikina,0.0,0.81,2000,0.25
Y. Watanabe,19.3,16.90,4400,0.00
N. Noel,14.9,17.64,4200,0
J. Green,14.7,11.98,3400,0.00
J. Smith,16.5,4.41,3600,0
G. Vincent,9.7,4.72,6000,0
K. Olynyk,19.5,0.00,6200,0
I. Joe,7.2,10.81,2800,0.00
U. Azubuike,15.9,21.71,1000,0
R. Rondo,15.8,0.00,3600,0.00
D. House Jr.,13.5,0.00,3000,0
D. Dotson,12.9,8.26,1000,0
P. Reed,7.7,3.68,1600,0
G. Brown,10.4,3.95,1000,0
D. Banton,6.9,5.01,1000,0
R. Langford,10.3,0.00,1000,0
D. Cacok,0.0,2.67,2600,0.00
M. Flynn,7.1,1.63,1000,0
S. Mamukelashvili,4.9,3.16,1000,0
M. McBride,4.4,2.53,1000,0
M. Simonovic,0.2,0.00,2800,0
D. Wilson,0.0,1.15,2000,0
K. Guy,0.7,0.00,2000,0
J. Bell,0.3,0.00,2000,0
M. Moody,0.1,0.00,2000,0.00
J. Bell,0.3,0.00,1800,0.00
B. Fernando,0.2,0.00,1800,0
T. Johnson,3.3,0.00,1000,0.00
P. Reed,0.0,3.62,1000,0.00
T. Antetokounmpo,0.2,3.19,1000,0
M. Brown,0.0,3.38,1000,0.00
K. Blevins,0.0,3.31,1000,0
D. Windler,0.5,1.52,1000,0.00
D. Wade,0.0,2.14,1000,0.00
K. Knox,0.0,1.89,1000,0
J. Wieskamp,0.7,0.00,1000,0.00
E. Ilyasova,0.5,0.00,1000,0.00
J. Smart,0.5,0.00,1000,0
E. Ilyasova,0.5,0.00,1000,0
J. Paige,0.5,0.00,1000,0
T. Terry,0.4,0.00,1000,0.00
L. Wigginton,0.3,0.00,1000,0
C. Diallo,0.3,0.00,1000,0
T. Fall,0.2,0.00,1000,0.00
T. Scott,0.2,0.00,1000,0.00
J. Teske,0.2,0.00,1000,0.00
S. Ojeleye,0.2,0.00,1000,0
J. DeLaurier,0.2,0.00,1000,0
J. Cumberland,0.2,0.00,1000,0
A. Lamb,0.1,0.00,1000,0.00
X. Sneed,0.1,0.00,1000,0.00
J. Dowtin,0.1,0.00,1000,0
L. Kornet,0.1,0.00,1000,0
J. Morant,45.2,47.38,11200,48.25
T. Harris,39.0,39.87,9000,47.75
T. Maxey,33.6,37.76,7600,57.75
A. Drummond,36.5,34.84,4000,62.25
D. Bane,28.9,28.38,7200,52.25
S. Curry,31.1,29.02,6200,28.25
J. Jackson,30.3,30.22,8000,34.75
M. Thybulle,19.2,20.08,3600,17.75
K. Anderson,21.4,19.18,5600,14.75
G. Niang,19.6,21.98,3200,10
S. Adams,21.5,24.20,6600,33.5
B. Clarke,20.2,22.29,5400,10.5
D. Melton,24.1,24.55,5800,9.5
J. Konchar,9.7,13.96,4600,1.25
C. Bassey,19.9,24.82,1000,10.5
D. Green,13.9,16.30,2400,17.75
K. Tillie,0.0,9.60,1800,0
Z. Williams,14.5,10.76,3800,21.75
T. Jones,16.3,11.16,3400,15.5
I. Joe,10.1,7.74,1000,12.75
C. Brown,0.3,0.00,1000,0
B. Adebayo,40.3,48.56,8400,32.75
J. Tatum,46.1,44.07,11000,44.5
J. Brown,40.9,38.02,9400,42.5
T. Herro,36.6,37.34,7000,20.5
R. Williams,32.1,31.42,8000,23.25
G. Vincent,27.4,29.45,5200,31.25
C. Martin,24.6,28.67,3000,22
M. Smart,27.5,27.44,6000,34.5
M. Strus,23.4,27.16,4400,37.75
D. Robinson,23.1,24.92,4800,14.75
A. Horford,22.8,22.70,5800,32.25
J. Richardson,16.8,19.71,2800,14
D. Dedmon,17.7,18.08,2200,7.75
G. Williams,15.8,16.59,2600,21.75
D. Schroder,15.1,15.22,6200,10
K. Guy,18.1,9.14,1000,3.75
A. Nesmith,0.0,3.93,2000,8
P. Pritchard,0.0,3.31,1000,3.75
B. Fernando,0.0,2.03,1000,6.25
R. Langford,10.7,1.93,1000,0
S. Hauser,0.0,1.37,1000,3.5
C. Silva,8.3,0.00,1000,17.75
S. Curry,45.6,49.67,13600,66.75
C. Wood,39.3,42.05,11000,50.25
K. Looney,27.1,32.20,6200,29
K. Thompson,28.2,31.17,7800,26.25
A. Wiggins,30.8,34.98,8600,42.75
J. Poole,22.6,26.81,7600,10
J. Tate,25.6,23.68,7000,18.75
E. Gordon,23.8,25.05,5600,14.25
J. Green,23.7,25.27,5800,18.75
K. Porter,31.7,26.03,8400,36.25
A. Sengun,18.5,18.58,3400,7
J. Kuminga,16.4,25.94,4800,7
K. Martin,0.0,20.34,5000,20.75
G. Payton II,18.2,14.09,3600,19.75
J. Christopher,12.8,18.46,3800,22.25
D. Lee,15.0,11.26,2000,4.5
J. Toscano-Anderson,12.0,14.12,1000,19.25
G. Mathews,16.2,21.15,5200,20.5
M. Moody,14.1,13.99,1000,18.5
A. Brooks,9.8,7.18,1000,0
C. Chiozza,0.3,0.00,1000,1.5
J. Valanciunas,40.6,38.58,9000,35.75
C. Cunningham,34.3,36.66,8800,16.75
B. Ingram,38.6,35.38,9200,40.25
J. Grant,34.3,28.91,8400,19.75
S. Bey,28.2,28.29,7400,20.5
K. Olynyk,23.4,24.58,5800,12.5
D. Graham,29.8,26.67,6600,14.75
H. Jones,24.6,28.20,6200,18.75
N. Alexander-Walker,29.4,19.89,6000,23.25
I. Stewart,20.2,22.46,5000,24.75
K. Hayes,19.7,18.91,4400,13.5
C. Joseph,18.3,19.31,4600,24.5
G. Temple,16.2,18.38,3800,3.25
H. Diallo,16.0,18.09,4800,20.75
T. Lyles,16.7,19.80,5600,19.5
J. Hayes,16.7,21.93,3400,19.75
J. Alvarado,18.0,18.68,4200,22.75
W. Hernangomez,0.0,17.88,6800,19.5
F. Jackson,14.8,12.00,4000,18.75
G. Clark,8.9,8.66,2200,11.25
T. Satoransky,0.3,0.00,1000,0
G. Antetokounmpo,57.8,53.43,15400,75.75
K. Kuzma,38.3,39.73,9800,51.75
S. Dinwiddie,37.6,34.81,8200,28.75
K. Middleton,37.9,36.63,10800,26.25
J. Holiday,36.5,37.34,10200,35.75
B. Portis,31.3,30.67,8600,28.75
T. Bryant,22.4,23.39,3800,7.75
M. Harrell,23.8,23.37,5800,25.25
K. Caldwell-Pope,24.8,24.04,5200,20.75
D. Avdija,21.6,23.48,4600,14.5
G. Allen,20.9,21.62,5600,29
D. DiVincenzo,20.7,21.33,4400,14.5
C. Kispert,20.1,20.85,2800,11.25
P. Connaughton,17.9,21.30,4200,11.5
R. Hachimura,15.4,18.17,3400,17.25
A. Holiday,21.9,18.45,1000,10.75
W. Matthews,10.1,10.61,2000,5.25
R. Neto,5.6,6.77,1000,8
J. Nwora,6.2,5.16,3600,0
R. Hood,4.3,3.88,1000,0
D. Bertans,0.1,0.00,1000,0
N. Jokic,59.6,60.61,14400,54.5
K. Towns,46.2,46.97,11800,54.5
A. Edwards,38.1,39.20,10400,10.5
W. Barton,32.6,30.11,7200,24.25
A. Gordon,32.0,28.72,7400,17
J. Vanderbilt,26.2,26.41,6600,35.75
M. Morris,25.9,24.58,6400,24
P. Beverley,24.3,22.26,6000,24
M. Beasley,21.7,19.61,3600,21.75
J. Nowell,22.0,20.91,4200,17
J. McDaniels,17.7,16.74,4400,19.75
J. Green,17.5,16.37,4000,14
Z. Nnaji,8.7,14.20,2000,20.5
N. Reid,11.8,15.69,1800,26.75
B. Forbes,14.2,17.45,2200,4.75
T. Prince,12.0,17.08,3400,45.25
J. Green,12.2,18.85,1600,20
J. McLaughlin,8.4,17.25,3200,27
A. Rivers,16.3,15.21,3800,10.25
B. Hyland,0.0,11.52,2600,13
F. Campazzo,0.0,3.60,1000,8.75
D. Cousins,0.1,0.00,3000,0
J. Okogie,5.1,0.00,1000,0
J. Harden,54.9,50.70,11800,46.25
D. Booker,45.9,46.22,10200,48
K. Irving,43.3,43.06,10600,38
C. Paul,42.7,45.16,10800,51
D. Ayton,29.6,31.24,8600,19.5
N. Claxton,24.6,22.09,4000,10.75
P. Mills,23.9,24.21,6400,15.25
K. Edwards,20.5,23.67,5000,22.25
M. Bridges,25.7,27.12,6600,49.5
C. Johnson,25.5,21.55,6000,21.25
J. Crowder,21.1,19.31,4600,13.75
J. McGee,21.4,18.04,4400,12
J. Johnson,14.0,20.97,3600,7.25
B. Griffin,7.9,18.56,2800,30
B. Biyombo,4.2,17.20,6200,1.25
D. Bembry,15.4,14.05,3400,17.5
I. Wainright,15.8,10.45,2000,0
C. Thomas,16.9,9.88,3200,2.75
E. Payton,11.4,9.23,1400,13.5
D. Sharpe,18.1,0.00,4200,3.25
B. Brown,0.0,9.27,3000,9.5
A. Davis,47.0,46.84,10800,57.75
R. Westbrook,46.3,43.90,10200,43
J. Nurkic,42.5,43.39,8800,43.25
C. McCollum,39.2,39.14,9200,34.5
A. Simons,34.5,32.58,7400,29
M. Monk,28.4,32.10,6400,15.5
N. Powell,30.5,30.13,7200,43.25
R. Covington,26.2,28.91,6600,38.25
C. Anthony,23.5,27.13,6000,43
T. Horton-Tucker,17.6,21.60,3800,14.75
S. Johnson,19.9,19.17,3600,7.75
D. Smith,12.2,17.45,1600,10.75
A. Bradley,14.6,17.32,1800,26.5
C. Elleby,9.4,13.27,1000,5.75
T. Watford,14.7,14.72,2200,18.5
D. Howard,13.7,9.32,1000,20.25
A. Reaves,17.8,15.47,3200,3.25
B. McLemore,13.8,9.71,2600,4.5
T. Snell,8.1,5.22,1000,0
K. Bazemore,2.5,7.50,1000,1.5
K. Blevins,0.0,1.61,1000,0
J. Cumberland,0.2,0.00,1000,0
K. Towns,48.3,47.41,11400,47.5
A. Edwards,38.3,37.40,9400,32.25
J. Grant,34.7,32.72,7800,31.75
S. Bey,28.9,29.32,7600,53.75
J. Vanderbilt,26.7,24.41,6800,25.5
K. Olynyk,23.0,25.78,6000,13
I. Stewart,24.1,26.05,5400,28.75
P. Beverley,24.0,20.53,5600,33.5
J. Nowell,20.0,22.10,3600,10.25
C. Joseph,25.0,24.11,4600,22
N. Reid,10.5,16.35,2200,8
T. Lyles,17.2,21.10,5200,12.5
H. Diallo,20.7,18.37,4800,14.75
M. Beasley,20.4,20.09,3800,26.25
F. Jackson,20.2,18.28,4000,35.25
K. Hayes,24.8,20.14,4400,11.75
J. McDaniels,18.2,19.03,4200,16
R. McGruder,5.0,18.32,1000,11.25
T. Prince,12.4,19.14,5000,35.5
J. McLaughlin,12.3,21.93,3200,19.25
C. Paul,45,46.26,11200,49
D. Booker,46.9,46.15,10600,38
T. Young,46.9,45.02,11600,53.5
D. Ayton,31.9,33.63,8800,25.25
J. Collins,29,28.91,7600,35
M. Bridges,27.5,28.53,7800,43.5
C. Capela,27.4,28.51,7200,29
B. Bogdanovic,27.2,25.88,5800,24
K. Huerter,24.3,22.76,4800,30.75
O. Okongwu,21.1,22.13,4000,9
C. Johnson,21.7,21.79,6400,28.5
D. Hunter,23.3,21.68,4400,17
D. Gallinari,21,20.44,3800,26.5
J. Crowder,21.8,20.25,4200,22
J. McGee,20.5,18.19,3600,16
D. Wright,15.6,17.88,3400,6
E. Payton,11.5,11.01,1400,13.5
I. Wainright,6.4,10.87,1000,0
B. Biyombo,4.1,8.01,4600,0
J. Butler,41.4,45.1,11000,30.25
B. Adebayo,37.3,42.88,10000,45.25
D. White,34.6,36.1,7400,29
K. Johnson,32.6,33.74,7000,15.25
K. Lowry,34.4,27.1,8800,10.75
T. Herro,30.2,29.23,7600,41.25
D. Vassell,27.1,31.89,5000,19.25
D. Eubanks,25.5,24.19,2600,16.25
T. Jones,29.7,22.38,3600,25.75
P. Tucker,18.8,22.45,4200,20.75
L. Walker,23.7,25.95,4600,17.5
M. Strus,20.3,22.38,4000,9.5
T. Young,19.2,26.54,1000,24
D. Robinson,19.3,16.65,3800,28.75
J. Primo,17.2,20.32,3200,14.75
G. Vincent,9.8,18.62,4800,24.25
D. Dedmon,14.8,15.7,2200,19.75
J. Hernangomez,17.3,12.26,1000,17.5
K. Guy,0.7,0,1000,6
A. Davis,48.2,49.68,11600,63.25
R. Westbrook,46.5,45.03,11400,32
M. Morris,26.2,32.17,7200,45.25
R. Jackson,27.8,30.63,6800,49
M. Monk,27.6,29.96,7400,41.75
A. Coffey,23.5,26.41,7000,10
C. Anthony,25.1,26.92,6200,11.5
T. Mann,19.5,21.29,4400,9
L. Kennard,24.5,24.26,5200,17
N. Batum,20.0,23.72,4800,21.75
J. Winslow,19.2,20.80,3600,0
E. Bledsoe,13.8,19.19,5000,22.75
A. Reaves,14.1,16.09,4000,12.5
I. Hartenstein,19.5,20.38,1800,18.5
D. Howard,11.2,12.99,1000,15.5
T. Horton-Tucker,16.6,14.43,4200,16.5
S. Johnson,17.2,17.09,3800,11.25
A. Bradley,15.7,19.73,1000,6
I. Zubac,25.1,0.00,4600,0
B. Boston Jr.,5.2,6.99,1000,3.5
S. Ibaka,0.0,8.71,3200,36.5
K. Bazemore,4.8,5.09,1000,2.5
L. Ball,46.3,46.36,10000,25
J. Allen,38.7,37.98,8200,60.5
E. Mobley,39.0,34.56,8000,28.5
T. Rozier,33.2,34.19,7600,35.75
K. Love,33.0,39.51,7400,40.25
M. Bridges,35.4,33.71,8400,32
G. Hayward,29.2,28.02,6400,22.25
C. Osman,30.5,32.17,6000,8.25
B. Goodwin,25.3,29.87,4200,39.25
M. Plumlee,26.1,24.39,5600,34.75
K. Oubre,25.8,22.16,5800,38.75
P. Washington,23.7,21.06,5200,23.75
I. Okoro,21.7,22.91,4000,18
C. Martin,13.8,20.80,4400,16.25
L. Stevens,12.7,12.00,2000,6.25
R. Rondo,18.1,16.68,2600,7.5
D. Wade,13.3,9.79,2800,10.75
I. Smith,0.0,5.89,3000,0
K. Pangos,0.4,0.00,1000,0
D. Windler,0.6,0.00,2200,0
E. Davis,0.1,0.00,1000,0
N. Richards,4.1,0.00,1000,0
T. Young,47.0,46.71,10800,50
F. VanVleet,43.5,43.50,9600,50
P. Siakam,42.2,43.60,10200,50.75
C. Capela,28.0,28.59,7000,21.25
G. Trent,27.0,35.43,7400,25.25
J. Collins,30.3,29.00,7600,36.5
S. Barnes,31.2,34.61,7800,35.25
O. Anunoby,32.4,33.57,8400,34.5
B. Bogdanovic,24.9,28.06,6000,41
C. Boucher,23.1,16.86,5800,27
K. Huerter,23.4,22.57,4800,16.5
O. Okongwu,20.7,21.87,4400,14.5
D. Hunter,25.1,21.85,4600,33.5
P. Achiuwa,17.8,14.81,4000,16.25
L. Williams,13.9,13.52,3200,3.75
D. Wright,17.4,12.70,3800,21
T. Luwawu-Cabarrot,0.0,6.75,2600,0
D. Banton,6.5,5.28,2800,7.25
K. Birch,0.0,9.25,1000,3.5
J. Champagnie,6.4,0.00,1000,0
D. Murray,47.0,50.45,13800,53.75
C. Wood,43.6,44.55,11800,32.75
J. Tate,29.3,29.46,7200,21
D. White,34.5,35.63,9000,28.25
K. Johnson,31.1,31.23,8400,42.75
J. Poeltl,33.1,35.23,9800,46.5
K. Porter,32.5,33.06,9600,12.25
J. Green,27.1,27.98,5400,21
D. Vassell,25.0,24.69,5600,14.75
E. Gordon,24.4,27.21,5200,12.25
A. Sengun,29.4,19.16,3200,29.5
K. Martin,0.0,18.25,4400,15.25
D. McDermott,20.5,19.62,5000,25.25
G. Mathews,17.9,20.68,4800,5.25
J. Christopher,11.7,17.44,3800,41.75
K. Bates-Diop,10.9,15.30,1000,11
D. Eubanks,16.2,12.99,3000,0
T. Jones,12.6,4.50,4200,12.25
T. Young,14.8,3.38,1000,0
J. Primo,0.0,8.54,3400,15.75
Z. Collins,0.0,9.25,1000,26.75
J. Hernangomez,5.7,3.08,3600,0
A. Brooks,0.1,0.00,2800,7
N. Jokic,59.3,64.98,13800,58.5
J. Valanciunas,39.2,48.19,10000,32.25
B. Ingram,38.8,45.25,9600,53
W. Barton,30.5,34.30,7400,32
D. Graham,29.3,30.05,6600,18.5
H. Jones,24.4,23.74,6400,32.5
M. Morris,25.7,27.04,5800,29.5
N. Alexander-Walker,20.8,19.35,6200,25
J. Hayes,19.1,28.40,4800,42.25
J. Alvarado,19.1,18.17,4200,8.5
B. Hyland,0.0,15.54,4400,14.25
J. Hart,33.2,0.00,7800,0
Z. Nnaji,8.7,13.29,3800,24.5
B. Forbes,14.1,16.13,4000,10.5
J. Green,17.5,17.43,4600,7.25
J. Green,12.1,17.09,1600,11.25
D. Cousins,0.0,16.86,3400,0
A. Rivers,13.7,14.84,3000,7.75
A. Gordon,29.3,0.00,7000,0
G. Clark,10.5,6.37,2200,5.75
W. Gabriel,0.0,6.38,1000,0
T. Satoransky,0.3,6.11,1000,0
F. Campazzo,3.5,0.00,1800,0
